Name,Image,Tier,来源表格,Crop,Value_Sheckle Price,Value_Robux Price,Value_Min Value,Stock,Multi-Harvest,Obtain-able,Value_Summer Coin Price,Value_Honey Price,Value_Chi Price
Kiwi,,Mythical,All,,,,,,,,,,
Bell Pepper,,Mythical,All,,,,,,,,,,
Prickly Pear,,Mythical,All,,,,,,,,,,
Pink Lily,,Mythical,All,,,,,,,,,,
Purple Dahlia,,Mythical,All,,,,,,,,,,
Tall Asparagus,],Mythical,All,,,,,,,,,,
Sugarglaze,,Mythical,All,,,,,,,,,,
Grape,,Divine,All,,,,,,,,,,
Loquat,,Divine,All,,,,,,,,,,
Mushroom,,Divine,All,,,,,,,,,,
Pepper,,Divine,All,,,,,,,,,,
Cacao,,Divine,All,,,,,,,,,,
Feijoa,,Divine,All,,,,,,,,,,
Pitcher Plant,,Divine,All,,,,,,,,,,
Grand Volcania,,Divine,All,,,,,,,,,,
Sunflower,,Divine,All,,,,,,,,,,
Grand Tomato,,Divine,All,,,,,,,,,,
Taco Fern,,Divine,All,,,,,,,,,,
Beanstalk,,Prismatic,All,,,,,,,,,,
Ember Lily,,Prismatic,All,,,,,,,,,,
Sugar Apple,,Prismatic,All,,,,,,,,,,
Burning Bud,,Prismatic,All,,,,,,,,,,
Giant Pinecone,,Prismatic,All,,,,,,,,,,
Elder Strawberry,,Prismatic,All,,,,,,,,,,
Chocolate Carrot,,Common,All,,,,,,,,,,
Red Lollipop,,Uncommon,All,,,,,,,,,,
Nightshade,,Uncommon,All,,,,,,,,,,
Crocus,,Uncommon,All,,,,,,,,,,
Lavender,,Uncommon,All,,,,,,,,,,
Manuka Flower,,Uncommon,All,,,,,,,,,,
Wild Carrot,,Uncommon,All,,,,,,,,,,
Stonebite,,Uncommon,All,,,,,,,,,,
[Candy Sunflower]],,Rare,All,,,,,,,,,,
Peace Lily,,Rare,All,,,,,,,,,,
Mint,,Rare,All,,,,,,,,,,
Blue Lollipop,,Rare,All,,,,,,,,,,
Glowshroom,,Rare,All,,,,,,,,,,
Dandelion,,Rare,All,,,,,,,,,,
Nectarshade,,Rare,All,,,,,,,,,,
Succulent,,Rare,All,,,,,,,,,,
Bee Balm,,Rare,All,,,,,,,,,,
Pear,,Rare,All,,,,,,,,,,
Delphinium,,Rare,All,,,,,,,,,,
Liberty Lily,,Rare,All,,,,,,,,,,
Paradise Petal,,Rare,All,,,,,,,,,,
Cranberry,,Legendary,All,,,,,,,,,,
Durian,,Legendary,All,,,,,,,,,,
Papaya,,Legendary,All,,,,,,,,,,
Moonflower,,Legendary,All,,,,,,,,,,
Starfruit,,Legendary,All,,,,,,,,,,
Lumira,,Legendary,All,,,,,,,,,,
Violet Corn,,Legendary,All,,,,,,,,,,
Nectar Thorn,,Legendary,All,,,,,,,,,,
Cantaloupe,,Legendary,All,,,,,,,,,,
Aloe Vera,,Legendary,All,,,,,,,,,,
Firework Flower,,Legendary,All,,,,,,,,,,
White Mulberry,,Legendary,All,,,,,,,,,,
Dragon Sapling,,Legendary,All,,,,,,,,,,
Horned Dinoshroom,,Legendary,All,,,,,,,,,,
Boneboo,,Legendary,All,,,,,,,,,,
Fruitball,,Legendary,All,,,,,,,,,,
Veinpetal,,Legendary,All,,,,,,,,,,
Enkaku,,Legendary,All,,,,,,,,,,
Sakura Bush,,Legendary,All,,,,,,,,,,
Easter Egg,,Mythical,All,,,,,,,,,,
Eggplant,,Mythical,All,,,,,,,,,,
Passionfruit,,Mythical,All,,,,,,,,,,
Lemon,,Mythical,All,,,,,,,,,,
Moonglow,,Mythical,All,,,,,,,,,,
Moon Melon,,Mythical,All,,,,,,,,,,
Blood Banana,,Mythical,All,,,,,,,,,,
Celestiberry,,Mythical,All,,,,,,,,,,
Guanabana,,Mythical,All,,,,,,,,,,
Nectarine,,Mythical,All,,,,,,,,,,
Honeysuckle,,Mythical,All,,,,,,,,,,
Suncoil,,Mythical,All,,,,,,,,,,
Bendboo,,Mythical,All,,,,,,,,,,
[Cocovine]],,Mythical,All,,,,,,,,,,
Parasol Flower,,Mythical,All,,,,,,,,,,
Lily Of The Valley,,Mythical,All,,,,,,,,,,
Firefly Fern,,Mythical,All,,,,,,,,,,
Moon Mango,,Mythical,All,,,,,,,,,,
Candy Blossom,,Divine,All,,,,,,,,,,
Cherry Blossom,,Divine,All,,,,,,,,,,
Lotus,,Divine,All,,,,,,,,,,
Venus Fly Trap,,Divine,All,,,,,,,,,,
Cursed Fruit,,Divine,All,,,,,,,,,,
Soul Fruit,,Divine,All,,,,,,,,,,
Moon Blossom,,Divine,All,,,,,,,,,,
Hive Fruit,,Divine,All,,,,,,,,,,
Dragon Pepper,,Divine,All,,,,,,,,,,
Rosy Delight,,Divine,All,,,,,,,,,,
Traveler's Fruit,,Divine,All,,,,,,,,,,
Fossilight,,Divine,All,,,,,,,,,,
Tranquil Bloom,,Prismatic,All,,,,,,,,,,
Elephant Ears,,Prismatic,All,,,,,,,,,,
Bone Blossom,,Transcendent,All,,,,,,,,,,
,,Common,Sam’s Shop,Carrot,10,7,15,5月25日,FALSE,✓,,,
,,Common,Sam’s Shop,Strawberry,50,21,14,1月6日,TRUE,✓,,,
,,Uncommon,Sam’s Shop,Blueberry,400,49,18,1月5日,TRUE,✓,,,
,,Uncommon,Sam’s Shop,Orange Tulip,600,14,767,5月25日,FALSE,✓,,,
,,Rare,Sam’s Shop,Tomato,800,79,27,1月3日,TRUE,✓,,,
,,Rare,Sam’s Shop,Corn,1300,135,36,2月4日,TRUE,✓,,,
,,Rare,Sam’s Shop,Daffodil,1000,19,903,4月7日,FALSE,✓,,,
,,Legendary,Sam’s Shop,Watermelon,2500,195,2708,1月5日,FALSE,✓,,,
,,Legendary,Sam’s Shop,Pumpkin,3000,210,3069,1月3日,FALSE,✓,,,
,,Legendary,Sam’s Shop,Apple,3250,390,248,1,TRUE,✓,,,
,,Legendary,Sam’s Shop,Bamboo,4000,99,3610,10月20日,FALSE,✓,,,
,,Mythical,Sam’s Shop,Coconut,6000,435,361,1,TRUE,✓,,,
,,Mythical,Sam’s Shop,Cactus,15000,497,3069,1月5日,TRUE,✓,,,
,,Mythical,Sam’s Shop,Dragon Fruit,50000,597,4287,1,TRUE,✓,,,
,,Mythical,Sam’s Shop,Mango,100000,580,5866,1,TRUE,✓,,,
,,Divine,Sam’s Shop,Grape,850000,599,7850,1,TRUE,✓,,,
,,Divine,Sam’s Shop,Mushroom,150000,249,136278,1月25日,FALSE,✓,,,
,,Divine,Sam’s Shop,Pepper,1000000,629,7220,1,TRUE,✓,,,
,,Divine,Sam’s Shop,Cacao,2500000,679,10830,1,TRUE,✓,,,
,,Prismatic,Sam’s Shop,Beanstalk,10000000,715,25270,1,TRUE,✓,,,
,,Prismatic,Sam’s Shop,Ember Lily,15000000,779,60166,1,TRUE,✓,,,
,,Prismatic,Sam’s Shop,Sugar Apple,25000000,819,43320,1,TRUE,✓,,,
,,Prismatic,Sam’s Shop,Burning Bud,40000000,915,70000,1,TRUE,✓,,,
,,Prismatic,Sam’s Shop,Giant Pinecone,55000000,929,65000,1,TRUE,✓,,,
,,Prismatic,Sam’s Shop,Elder Strawberry,70000000,957,81225,1,TRUE,✓,,,
,,Rare,Summer Seed Merchant,Cauliflower,1300,135,36,1月4日,TRUE,✓,,,
,,Legendary,Summer Seed Merchant,Rafflesia,3200,215,3159,1-?,FALSE,✓,,,
,,Legendary,Summer Seed Merchant,Green Apple,3500,399,271,1,TRUE,✓,,,
,,Legendary,Summer Seed Merchant,Avocado,5000,419,316,1,TRUE,✓,,,
,,Legendary,Summer Seed Merchant,Banana,7000,459,1579,1,TRUE,✓,,,
,,Mythical,Summer Seed Merchant,Pineapple,7500,475,1805,1,TRUE,✓,,,
,,Mythical,Summer Seed Merchant,Kiwi,10000,529,2482,1,TRUE,✓,,,
,,Mythical,Summer Seed Merchant,Bell Pepper,55000,589,4964,1,TRUE,✓,,,
,,Mythical,Summer Seed Merchant,Prickly Pear,555000,599,6318,1,TRUE,✓,,,
,,Divine,Summer Seed Merchant,Loquat,900000,629,7220,1,TRUE,✓,,,
,,Divine,Summer Seed Merchant,Feijoa,2750000,679,11733,1,TRUE,✓,,,
,,Divine,Summer Seed Merchant,Pitcher Plant,7500000,715,28880,1,TRUE,✓,,,
,,Rare,Georgia's Shop,Delphinium,,99,21660,N/A,FALSE,✗,2,,
,,Mythical,Georgia's Shop,Lily Of The Valley,,639,44331,N/A,TRUE,✗,12,,
,,Divine,Georgia's Shop,Traveler's Fruit,,749,53248,N/A,TRUE,✗,32,,
,,Common,Easter Event 2025,Chocolate Carrot,10000,99,9928,1月20日,FALSE,✗,,,
,,Uncommon,Easter Event 2025,Red Lollipop,45000,199,45125,5月25日,FALSE,✗,,,
,,Rare,Easter Event 2025,Candy Sunflower,75000,279,72200,3月10日,FALSE,✗,,,
,,Mythical,Easter Event 2025,Easter Egg,500000,699,2256,3月5日,TRUE,✗,,,
,,Divine,Easter Event 2025,Candy Blossom,10000000,1299,90250,1,TRUE,✗,,,
,,Mythical,Blood Moon Shop,Blood Banana,200000,599,5415,2月4日,TRUE,✗,,,
,,Mythical,Blood Moon Shop,Moon Melon,500000,729,16245,2月4日,TRUE,✗,,,
,,Mythical,Twilight Shop,Celestiberry,15000000,599,9025,1月3日,TRUE,✗,,,
,,Mythical,Twilight Shop,Moon Mango,1000000000,999,45125,1,TRUE,✗,,,
,,Uncommon,Queen Bee Shop,Lavender,,99,22563,3月5日,FALSE,✗,,3,
,,Rare,Queen Bee Shop,Nectarshade,,139,45125,2月3日,FALSE,✗,,5,
,,Mythical,Queen Bee Shop,Nectarine,,399,43320,1,TRUE,✗,,25,
,,Divine,Queen Bee Shop,Hive Fruit,,599,55955,1,TRUE,✗,,40,
,,Rare,July 4th Shop,Liberty Lily,650000,519,27075,5,TRUE,✗,,,
,,Legendary,July 4th Shop,Firework Flower,150000,249,136278,15,FALSE,✗,,,
,,Rare,Zen Shop,Zenflare,,199,35760,5,TRUE,✓,,,6
,,Legendary,Zen Shop,Soft Sunshine,,659,40613,1,TRUE,✓,,,20
,,Legendary,Zen Shop,Sakura Bush,,489,25789,1,TRUE,✓,,,14
,,Mythical,Zen Shop,Spiked Mango,,759,60919,1,TRUE,✓,,,75
,,Uncommon,Crafting Station,Manuka Flower,,,22563,N/A,FALSE,✗,,,
,,Rare,Crafting Station,Bee Balm,,,16245,N/A,TRUE,✗,,,
,,Rare,Crafting Station,Peace Lily,,,21000,N/A,FALSE,✗,,,
,,Rare,Crafting Station,Horsetail,,199,30000,N/A,FALSE,✓,,,
,,Rare,Crafting Station,Dandelion,,,45125,N/A,FALSE,✗,,,
,,Legendary,Crafting Station,Aloe Vera,,,62111,N/A,FALSE,✗,,,
,,Legendary,Crafting Station,Lingonberry,,209,58000,N/A,TRUE,✓,,,
,,Legendary,Crafting Station,Lumira,,,76713,N/A,TRUE,✗,,,
,,Mythical,Crafting Station,Amber Spine,,625,65000,N/A,TRUE,✓,,,
,,Mythical,Crafting Station,Guanabana,,,63626,N/A,TRUE,✗,,,
,,Mythical,Crafting Station,Honeysuckle,,,90250,N/A,TRUE,✗,,,
,,Divine,Crafting Station,Grand Volcania,,819,70000,N/A,TRUE,✓,,,
,,Rare,Normal Seed Pack,Raspberry,,,90,N/A,TRUE,✓,,,
,,Mythical,Normal Seed Pack,Pineapple,,,1805,N/A,TRUE,✓,,,
,,Mythical,Normal Seed Pack,Peach,,,271,N/A,TRUE,✓,,,
,,Legendary,Exotic Seed Pack,Papaya,,,903,N/A,TRUE,✗,,,
,,Legendary,Exotic Seed Pack,Banana,,459,1579,N/A,TRUE,✓,,,
,,Mythical,Exotic Seed Pack,Passionfruit,,,3204,N/A,TRUE,✗,,,
,,Divine,Exotic Seed Pack,Soul Fruit,,,6994,N/A,TRUE,✗,,,
,,Divine,Exotic Seed Pack,Cursed Fruit,,,23239,N/A,TRUE,✗,,,
,,Legendary,Basic Seed Pack,Cranberry,,,3159,N/A,TRUE,✗,,,
,,Legendary,Basic Seed Pack,Durian,,,6769,N/A,TRUE,✗,,,
,,Mythical,Basic Seed Pack,Eggplant,,,10830,N/A,TRUE,✗,,,
,,Divine,Basic Seed Pack,Lotus,,,31588,N/A,TRUE,✗,,,
,,Divine,Basic Seed Pack,Venus Fly Trap,,,76713,N/A,TRUE,✗,,,
,,Uncommon,Night Seed Pack,Nightshade,,,3159,N/A,FALSE,✗,,,
,,Rare,Night Seed Pack,Glowshroom,,,271,N/A,TRUE,✗,,,
,,Rare,Night Seed Pack,Mint,,,4738,N/A,TRUE,✗,,,
,,Legendary,Night Seed Pack,Moonflower,,,8574,N/A,TRUE,✗,,,
,,Legendary,Night Seed Pack,Starfruit,,,13538,N/A,TRUE,✗,,,
,,Mythical,Night Seed Pack,Moonglow,,,22563,N/A,TRUE,✗,,,
,,Divine,Night Seed Pack,Moon Blossom,,,60166,N/A,TRUE,✗,,,
,,Uncommon,Flower Seed Pack,Rose,,199,4513,N/A,TRUE,✓,,,
,,Rare,Flower Seed Pack,Foxglove,,199,18050,N/A,TRUE,✓,,,
,,Legendary,Flower Seed Pack,Lilac,,199,31588,N/A,TRUE,✓,,,
,,Mythical,Flower Seed Pack,Pink Lily,,199,58663,N/A,TRUE,✓,,,
,,Mythical,Flower Seed Pack,Purple Dahlia,,199,67688,N/A,TRUE,✓,,,
,,Divine,Flower Seed Pack,Sunflower,,199,144400,N/A,TRUE,✓,,,
,,Uncommon,Crafters Seed Pack,Crocus,,199,27075,N/A,FALSE,✗,,,
,,Rare,Crafters Seed Pack,Succulent,,199,22563,N/A,TRUE,✗,,,
,,Legendary,Crafters Seed Pack,Violet Corn,,199,45125,N/A,TRUE,✗,,,
,,Mythical,Crafters Seed Pack,Bendboo,,199,139888,N/A,FALSE,✗,,,
,,Mythical,Crafters Seed Pack,Cocovine,,199,60166,N/A,TRUE,✗,,,
,,Divine,Crafters Seed Pack,Dragon Pepper,,199,80221,N/A,TRUE,✗,,,
,,Uncommon,Summer Seed Pack,Wild Carrot,,199,22563,N/A,FALSE,✗,,,
,,Rare,Summer Seed Pack,Pear,,199,18050,N/A,TRUE,✗,,,
,,Legendary,Summer Seed Pack,Cantaloupe,,199,48634,N/A,TRUE,✗,,,
,,Mythical,Summer Seed Pack,Parasol Flower,,199,180500,N/A,FALSE,✗,,,
,,Divine,Summer Seed Pack,Rosy Delight,,199,62273,N/A,TRUE,✗,,,
,,Prismatic,Summer Seed Pack,Elephant Ears,,199,69493,N/A,TRUE,✗,,,
,,Uncommon,Ancient Seed Pack,Stonebite,,199,31588,N/A,FALSE,✗,,,
,,Rare,Ancient Seed Pack,Paradise Petal,,199,58351,N/A,TRUE,✗,,,
,,Legendary,Ancient Seed Pack,Horned Dinoshroom,,199,62272,N/A,TRUE,✗,,,
,,Legendary,Ancient Seed Pack,Boneboo,,199,127380,N/A,FALSE,✗,,,
,,Mythical,Ancient Seed Pack,Firefly Fern,,199,64980,N/A,TRUE,✗,,,
,,Divine,Ancient Seed Pack,Fossilight,,199,79420,N/A,TRUE,✗,,,
,,Uncommon,Zen Seed Pack,Monoblooma,,199,30000,N/A,FALSE,✓,,,
,,Rare,Zen Seed Pack,Serenity,,199,25000,N/A,TRUE,✓,,,
,,Legendary,Zen Seed Pack,Taro Flower,,199,90000,N/A,FALSE,✓,,,
,,Legendary,Zen Seed Pack,Zen Rocks,,199,127380,N/A,FALSE,✓,,,
,,Mythical,Zen Seed Pack,Hinomai,,199,80000,N/A,TRUE,✓,,,
,,Divine,Zen Seed Pack,Maple Apple,,199,77000,N/A,TRUE,✓,,,
,,Uncommon,Gourmet Seed Pack,Onion,,199,9025,N/A,FALSE,✓,,,
,,Rare,Gourmet Seed Pack,Jalapeno,,199,27025,N/A,TRUE,✓,,,
,,Legendary,Gourmet Seed Pack,Crown Melon,,199,45125,N/A,TRUE,✓,,,
,,Mythical,Gourmet Seed Pack,Sugarglaze,,199,63175,N/A,TRUE,✓,,,
,,Mythical,Gourmet Seed Pack,Tall Asparagus,,199,90250,N/A,TRUE,✓,,,
,,Divine,Gourmet Seed Pack,Grand Tomato,,199,79420,N/A,TRUE,✓,,,
,,Unknown,Other,Purple Cabbage,,,451,N/A,TRUE,✗,,,
,,Common,Other,Pink Tulip,,,767,N/A,FALSE,✗,,,
,,Uncommon,Other,Blue Lollipop,,,45125,N/A,FALSE,✗,,,
,,Rare,Other,Noble Flower,,,18050,N/A,TRUE,✗,,,
,,Mythical,Other,Lemon,,21,316,N/A,TRUE,✗,,,
,,Divine,Other,Cherry Blossom,,21,451,N/A,TRUE,✗,,,
,,Divine,Other,Mega Mushroom,,,451,N/A,FALSE,✗,,,
,,Transcendent,Other,Bone Blossom,,623,180500,N/A,TRUE,✗,,,
